film_name;film_time_min;country;main_roles;genre;director;rating;url;film_year
Скажи, что любишь!;172;Индия;Ритик Рошан, Амиша Патель;боевик,триллер,мелодрама;Ракеш Рошан;7.9;https://www.kinopoisk.ru//film/85199/sr/1/;2000
Помни;113;США;Гай Пирс, Кэрри-Энн Мосс;триллер,детектив,драма;Кристофер Нолан;7.9;https://www.kinopoisk.ru//film/335/sr/1/;2000
Приходи на меня посмотреть;101;Россия;Олег Янковский, Ирина Купченко;мелодрама,комедия;Михаил Агранович;7.9;https://www.kinopoisk.ru//film/40955/sr/1/;2000
Каждое любящее сердце;173;Индия;Салман Кхан, Прити Зинта;мюзикл,драма,мелодрама;Радж Канвар;7.9;https://www.kinopoisk.ru//film/64539/sr/1/;2000
Любовное настроение;98;Гонконг;Мэгги Чун, Тони Люн Чу Вай;драма,мелодрама;Вонг Кар-Вай;7.9;https://www.kinopoisk.ru//film/656/sr/1/;2000
Похождения императора;78;США;Дэвид Спейд, Джон Гудман;мультфильм,фэнтези,комедия;Марк Диндал;7.9;https://www.kinopoisk.ru//film/658/sr/1/;2000
Вуншпунш (сериал);22;Канада;Вольфганг Якоб, Манон Штрахе;мультфильм,фэнтези,комедия;Филипп Амадор;7.9;https://www.kinopoisk.ru//film/418903/sr/1/;2000
Инуяся (сериал);24;Япония;Каппэи Ямагути, Ричард Иэн Кокс;аниме,мультфильм,фэнтези;Ясунао Аоки;7.8;https://www.kinopoisk.ru//film/408433/sr/1/;2000
Найти Форрестера;131;США;Шон Коннери, Роб Браун;драма;Гас Ван Сент;7.8;https://www.kinopoisk.ru//film/671/sr/1/;2000
C.S.I. Место преступления (сериал);43;США;Уильям Петерсен, Марг Хельгенбергер;триллер,драма,криминал;Кеннет Финк;7.8;https://www.kinopoisk.ru//film/178569/sr/1/;2000
А скоро осень? (ТВ);75;США;Трэйси Грэндстафф, Венди Хупес;мультфильм,комедия;Карен Дишер;7.8;https://www.kinopoisk.ru//film/330772/sr/1/;2000
Темный ангел (сериал);43;США;Джессика Альба, Майкл Уэтерли;фантастика,боевик,драма;Джефф Вулнаф;7.8;https://www.kinopoisk.ru//film/94225/sr/1/;2000
Комнаты смерти: Темное происхождение Шерлока Холмса (мини-сериал);100;Великобритания;Иэн Ричардсон, Чарльз Эдвардс;детектив;Пол Маркус;7.8;https://www.kinopoisk.ru//film/470944/sr/1/;2000
Радиоволна;119;США;Деннис Куэйд, Джеймс Кэвизел;триллер,фантастика,драма;Грегори Хоблит;7.8;https://www.kinopoisk.ru//film/675/sr/1/;2000
Шоколад;121;Великобритания;Жюльет Бинош, Джуди Денч;драма,мелодрама;Лассе Халльстрём;7.8;https://www.kinopoisk.ru//film/636/sr/1/;2000
Грязь и ярость. История Sex Pistols;108;Великобритания;Пол Кук, Стив Джонс;документальный,биография,музыка;Джульен Темпл;7.8;https://www.kinopoisk.ru//film/56392/sr/1/;2000
Моя жизнь;3;Россия;Н. Воронцова;мультфильм,короткометражка;Наталья Березовая;7.8;https://www.kinopoisk.ru//film/446114/sr/1/;2000
Фури-Кури (сериал);151;Япония;Дзюн Мидзуки, Маюми Синтани;аниме,мультфильм,фантастика;Кадзуя Цурумаки;7.8;https://www.kinopoisk.ru//film/257378/sr/1/;2000
Арабские приключения (мини-сериал);175;Германия;Мили Авиталь, Алан Бейтс;фэнтези,приключения,семейный;Стив Бэррон;7.8;https://www.kinopoisk.ru//film/77207/sr/1/;2000
Граница: Таежный роман (сериал);52;Россия;Алексей Гуськов, Ольга Будина;драма,мелодрама;Александр Митта;7.8;https://www.kinopoisk.ru//film/84793/sr/1/;2000
ДМБ;85;Россия;Петр Коршунков, Станислав Дужников;комедия;Роман Качанов;7.8;https://www.kinopoisk.ru//film/41133/sr/1/;2000
Малена;100;Италия;Моника Беллуччи, Джузеппе Сульфаро;драма,мелодрама,военный;Джузеппе Торнаторе;7.8;https://www.kinopoisk.ru//film/747/sr/1/;2000
Эрин Брокович;126;США;Джулия Робертс, Альберт Финни;драма,биография;Стивен Содерберг;7.8;https://www.kinopoisk.ru//film/661/sr/1/;2000
Поцелуемся?;6;Франция;Жан-Люк Абель, Алис Карель;короткометражка,драма;Пьер-Оливье Морна;7.8;https://www.kinopoisk.ru//film/156207/sr/1/;2000
Любовь на шестерых (сериал);29;Великобритания;Джек Девенпорт, Джина Беллман;мелодрама,комедия;Мартин Деннис;7.8;https://www.kinopoisk.ru//film/248134/sr/1/;2000
Дорога на Эльдорадо;89;США;Кевин Клайн, Кеннет Брана;мультфильм,мюзикл,мелодрама;Бибо Бержерон;7.8;https://www.kinopoisk.ru//film/806/sr/1/;2000
